sku,product_name,category,unit_cost,unit_price,profit_margin_pct,initial_quantity,current_stock,total_sold,stock_received_date,last_sale_date,days_since_last_sale,days_in_stock,monthly_velocity,stock_value,potential_revenue,holding_cost,movement_category,stock_status,urgency_score,action_required
SPZ-GRO-0001,Maize Meal 2.5kg (White Star),Groceries,79.62,92.16,13.6,47,0,47,18/04/2025,21/04/2025,248,251,5.62,0,0,0,fast,Dead Stock (6+ months),40,Clearance Sale / Bundle
SPZ-GRO-0002,Maize Meal 5kg (White Star),Groceries,64.6,74.8,13.6,83,0,83,30/09/2025,20/10/2025,66,86,28.95,0,0,0,fast,Moderate (1-3 months),13.2,Monitor Weekly
SPZ-GRO-0003,Maize Meal 1kg (Iwisa),Groceries,18.39,21.68,15.2,35,13,22,09/05/2025,17/12/2025,8,230,2.87,239.07,281.84,36.66,slow,Active (< 1 month),41.6,Restock When Low
SPZ-GRO-0004,Cooking Oil 750ml (Sunfoil),Groceries,58.78,82.31,28.6,56,0,56,24/06/2025,09/07/2025,169,184,9.13,0,0,0,fast,Slow Moving (3-6 months),33.8,Discount / Promote
SPZ-GRO-0005,Cooking Oil 2L (Golden Fry),Groceries,85.07,103.44,17.8,34,0,34,22/01/2025,09/03/2025,291,337,3.03,0,0,0,medium,Dead Stock (6+ months),40,Clearance Sale / Bundle
SPZ-GRO-0006,Sugar 2kg (White),Groceries,107.08,143.79,25.5,61,0,61,06/03/2025,28/03/2025,272,294,6.22,0,0,0,fast,Dead Stock (6+ months),40,Clearance Sale / Bundle
SPZ-GRO-0007,Sugar 1kg (Brown),Groceries,84.21,111.91,24.8,53,0,53,21/08/2025,30/11/2025,25,126,12.62,0,0,0,medium,Active (< 1 month),5,Restock When Low
SPZ-GRO-0008,Rice 2kg (Tastic),Groceries,93.34,121.56,23.2,94,0,94,26/05/2025,21/06/2025,187,213,13.24,0,0,0,fast,Dead Stock (6+ months),37.4,Clearance Sale / Bundle
SPZ-GRO-0009,Rice 1kg (Spekko),Groceries,81.89,117.43,30.3,84,0,84,21/09/2025,11/10/2025,75,95,26.53,0,0,0,fast,Moderate (1-3 months),15,Monitor Weekly
SPZ-GRO-0010,Flour 2.5kg (Snowflake),Groceries,32.66,38.25,14.6,24,0,24,21/04/2025,22/05/2025,217,248,2.9,0,0,0,medium,Dead Stock (6+ months),40,Clearance Sale / Bundle
